,user_id,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods
0,22002,21,44.15,1,16.68224299,2,0,0,151.6,0
1,22006,44,23.27906977,0,104.3125,3,159.5,0,254.25,1
2,22014,27,38.03846154,1,31.20833333,0,0,0,0,0
3,22015,20,57.36842105,1,58.72727273,3,379.5,0,149.75,1
4,22023,138,11.99270073,0,1,5,147,0,114,1
5,22028,149,7.074324324,1,2.285714286,5,203.75,0,128.5,0
6,22029,16,45.13333333,1,34.92523364,0,0,0,0,0
7,22030,1648,0.555555556,0,17.18181818,9,87.375,0,945,1
8,22030,1648,0.555555556,0,17.18181818,9,87.375,0,945,1
9,22034,76,22.36,0,63.85,3,928,0,212.8461538,1
10,22037,34,18,0,78.76190476,0,0,0,0,1
11,22041,11,15.8,1,36.91304348,0,0,0,0,0
12,22044,43,13.0952381,1,94.17391304,0,0,0,0,0
13,22046,56,9.527272727,1,35.8,5,467.25,0,19.66666667,0
14,22056,78,10.77922078,0,18.5,15,22.85714286,0,249.3333333,1
15,22058,14,41.07692308,1,115.0769231,1,0,0,0,1
16,22066,33,23.5,0,19.4125,5,145.25,0,222,1
17,22067,80,23.3164557,1,40.61111111,3,77.5,0,76.33333333,1
18,22072,61,10.33333333,0,39.27272727,6,100.8,1,349.9166667,1
19,22077,44,9.744186047,0,5.3,7,77.33333333,0,464.5,1
20,22080,22,3.333333333,0,1,0,0,0,0,0
21,22081,145,2.756944444,0,2.923076923,3,38,0,1071.666667,0
22,22086,381,4.052631579,0,50.43589744,7,149.3333333,1,96,0
23,22089,107,6.830188679,1,27.92352941,11,112.4,0,78,0
24,22096,21,60.15,1,21.54545455,1,0,0,0,1
25,22104,92,21.2967033,1,37.73333333,1,0,0,0,0
26,22117,117,6.370689655,1,29.71428571,3,351,0,147,0
27,22121,43,17.28571429,1,8.443548387,0,0,0,0,0
28,22126,186,6.583783784,0,11.97368421,4,238.6666667,0,105.5,0
29,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1
30,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1
31,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1
32,22136,474,2.315010571,0,1,3,244.5,0,125.5,0
33,22143,14,78.23076923,1,17.90816327,0,0,0,0,0
34,22150,19,42.88888889,1,25.79166667,3,199.5,0,1041.8,1
35,22154,138,14.47445255,0,1,3,79.5,0,249,0
36,22156,71,18.95714286,1,1.115384615,3,238,0,62,0
37,22158,441,0.104545455,0,16.08080808,36,17.28571429,0,412,1
38,22160,27,56.15384615,1,10.04347826,0,0,0,0,1
39,22161,225,8.78125,0,108.1333333,0,0,0,0,0
40,22163,13,115.1666667,1,4.5,0,0,0,0,0
41,22166,302,4.611295681,0,1,11,25,1,79,1
42,22171,37,34.5,0,1,8,29.71428571,1,95.66666667,0
43,22174,672,1.64828614,0,24,12,103.7272727,1,256.5,1
44,22178,41,12.625,1,65.46666667,0,0,0,0,1
45,22187,18,10.64705882,0,1,4,119.6666667,0,56.5,1
46,22188,31,13.76666667,1,6.558139535,0,0,0,0,0
47,22192,144,7.230769231,0,35.25,3,304.5,0,1405,1
48,22193,15,67.64285714,0,66.86206897,3,297,0,130.4,0
49,22203,37,55.72222222,0,10.94736842,4,116.6666667,0,154,1
50,22204,44,22.79069767,1,65.41758242,1,0,0,492,0
51,22214,136,10.85185185,0,259.6875,1,0,0,0,0
52,22216,17,68.875,1,1,5,193.25,0,325.8333333,1
53,22216,17,68.875,1,1,5,193.25,0,325.8333333,1
54,22217,21,24.9,0,64.76470588,17,31.1875,0,1609.5,1
55,22223,21,49.1,0,117.5238095,7,22,0,125.5,0
56,22228,101,3.48,1,1,3,24,0,242.3333333,0
57,22232,36,10.8,0,4.652173913,6,24.2,1,56.5,0
58,22233,11,42.4,1,39.21428571,0,0,0,0,0
59,22235,59,10.44827586,0,1,1,0,0,0,0
60,22245,103,9.294117647,0,48.57142857,12,34,1,32,0
61,22252,1240,1.786117837,0,27.33333333,5,519.5,0,802.6666667,0
62,22257,12,21.09090909,1,31.48387097,3,699,0,302,0
63,22260,13,14.58333333,0,24.03448276,1,0,0,0,1
64,22263,19,2.5,1,46.17307692,1,0,0,0,0
65,22264,18,10.88235294,0,1,1,0,0,0,0
66,22271,17,37.625,1,18,1,0,0,0,0
67,22272,453,1.334070796,0,18.75,0,0,0,0,0
68,22273,17,44.625,0,6,5,177.25,0,324.8333333,1
69,22274,80,13.89873418,1,48,0,0,0,0,0
70,22275,15,120.1428571,0,50.14285714,0,0,0,0,0
71,22284,39,39.23684211,1,25.89112903,0,0,0,0,0
72,22285,38,19.43243243,0,1,3,362.5,0,445.5,0
73,22286,79,16.82051282,1,1,1,0,0,0,0
74,22289,126,9.16,1,1,17,80,1,196.5,0
75,22297,62,28.96721311,0,23.36363636,1,0,0,0,0
76,22299,112,10.05405405,0,25.68292683,5,217.75,0,136.6666667,0
77,22306,26,29.4,1,1,0,0,0,0,0
78,22314,55,14.46296296,1,30.27777778,0,0,0,0,0
79,22316,219,4.596330275,0,22.88235294,6,172.6,1,109.5,1
80,22318,32,12.48387097,1,1,3,328,0,284.6666667,0
81,22323,64,15.3968254,1,6.775,8,93.42857143,0,311,0
82,22325,17,59.25,1,1,0,0,0,0,1
83,22328,44,23.88372093,1,19.42105263,0,0,0,0,0
84,22334,172,7.356725146,0,76.23529412,1,0,0,248,0
85,22335,50,18.55102041,0,16.26190476,1,0,0,0,1
86,22341,353,3.272727273,1,38.25,1,0,0,0,0
87,22342,22,52.61904762,0,6.285714286,4,25.66666667,0,29.33333333,1
88,22347,60,31.84745763,1,14.91509434,8,168,1,1682.5,0
89,22352,144,10.5034965,0,1,8,180.2857143,1,1286,0
90,22353,34,14.27272727,1,84.82352941,5,51.5,0,248.25,0
91,22354,86,0.882352941,0,88.85185185,3,35,0,120.0357143,0
92,22356,29,40.42857143,1,37.21428571,5,181.5,0,586.3333333,1
93,22363,203,0.698019802,0,10.8125,7,58.5,0,145.75,0
94,22369,90,4.359550562,0,1.142857143,1,0,0,300,0
95,22371,77,15.75,1,54.16666667,7,179.1666667,1,109.5,1
96,22372,48,15.06382979,1,1,4,468.3333333,0,184.2,1
97,22372,48,15.06382979,1,1,4,468.3333333,0,184.2,1
98,22375,208,0.869565217,0,28.65957447,9,107.625,0,320.3333333,0
99,22376,231,7.282608696,1,11.89830508,9,162.25,1,403.5,0
100,22383,89,13.95454545,1,6.434782609,3,251,0,191.375,0
101,22385,13,26.41666667,1,8.00896861,0,0,0,0,0
102,22400,57,8.571428571,1,7.571428571,0,0,0,0,0
103,22407,13,22.33333333,0,96,5,185.25,0,476,0
104,22408,18,55.47058824,0,2.8125,0,0,0,0,0
105,22409,16,50.93333333,1,18.42857143,0,0,0,0,0
106,22413,40,26.61538462,1,1,1,0,0,0,0
107,22416,338,2.225519288,1,1,5,104.25,0,86.5,0
108,22424,40,6.256410256,0,1,1,0,0,0,0
109,22427,46,20.31111111,1,171.0909091,1,0,0,0,0
110,22450,590,2.86417657,0,19.08695652,0,0,0,0,0
111,22457,906,2.342541436,0,94.71428571,20,65.68421053,1,445,1
112,22460,234,4.412017167,0,58,0,0,0,0,0
113,22462,56,12.12727273,1,12.94736842,3,49.5,0,822.5,1
114,22463,24,44.82608696,1,73.65384615,0,0,0,0,0
115,22476,19,32.55555556,1,7.090909091,10,29.77777778,1,203.8333333,0
116,22477,26,31.92,1,1,0,0,0,0,0
117,22479,30,21.44827586,0,12.5,0,0,0,0,0
118,22480,55,20.03703704,1,1,5,89.5,0,211,1
119,22484,50,4.612244898,0,1,0,0,0,0,0
120,22492,54,8.132075472,0,18.38461538,11,58.6,1,133.625,0
121,22495,1068,2.208059981,0,1,9,226,1,164.5,0
122,22498,157,4.467948718,0,1,4,459.6666667,0,232.1111111,0
123,22504,12,12.27272727,1,258.3018868,5,19.5,0,199.6,1
124,22512,16,32.86666667,1,1,0,0,0,0,1
125,22514,162,6.186335404,0,71.05405405,13,42.91666667,1,652,1
126,22514,162,6.186335404,0,71.05405405,13,42.91666667,1,652,1
127,22514,162,6.186335404,0,71.05405405,13,42.91666667,1,652,1
128,22514,162,6.186335404,0,71.05405405,13,42.91666667,1,652,1
129,22517,28,22.51851852,1,21.2987013,3,132,0,37.25,0
130,22519,29,24.42857143,1,34.25925926,0,0,0,0,0
131,22532,215,2.658878505,1,1,15,41.35714286,1,807.5555556,0
132,22536,182,5.486187845,0,21.41666667,1,0,0,0,0
133,22538,25,15.625,1,1.958333333,0,0,0,0,0
134,22542,36,55.28571429,0,47.35714286,0,0,0,0,0
135,22543,200,7.341708543,1,67.3,3,135.5,0,457.5,0
136,22545,77,2.197368421,1,33.09090909,1,0,0,0,0
137,22552,40,14.48717949,1,19.0952381,6,81.4,1,12.75,0
138,22553,52,24.70588235,1,3.911111111,0,0,0,0,0
139,22558,11,5.4,1,5.857142857,1,0,0,0,0
140,22559,17,8.625,1,36.3,1,0,0,0,1
141,22581,64,23,0,46.65,15,95.14285714,1,572,1
142,22591,58,6,1,31.11764706,0,0,0,0,1
143,22596,316,4.050793651,0,60.04635762,53,31.84615385,0,113,1
144,22599,79,14.97435897,0,280.0117647,13,100,1,147.5,0
